"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/2025","116.39","117.95","118.97","114.57","203.84M","-2.63%"
"03/17/2025","119.53","122.74","122.89","118.03","255.50M","-1.76%"
"03/14/2025","121.67","118.61","121.88","118.15","277.59M","5.27%"
"03/13/2025","115.58","117.03","117.76","113.79","299.03M","-0.14%"
"03/12/2025","115.74","114.12","116.76","112.88","323.86M","6.42%"
"03/11/2025","108.76","106.99","112.24","104.77","354.87M","1.66%"
"03/10/2025","106.98","109.90","111.85","105.46","366.49M","-5.07%"
"03/07/2025","112.69","111.25","113.48","107.56","341.76M","1.92%"
"03/06/2025","110.57","113.53","115.35","110.22","321.18M","-5.74%"
"03/05/2025","117.30","117.58","118.28","114.51","284.34M","1.13%"
"03/04/2025","115.99","110.64","119.31","110.11","398.16M","1.69%"
"03/03/2025","114.06","123.51","123.70","112.28","411.38M","-8.69%"
"02/28/2025","124.92","118.02","125.09","116.40","389.09M","3.97%"
"02/27/2025","120.15","135.00","135.01","120.01","443.18M","-8.48%"
"02/26/2025","131.28","129.99","133.73","128.49","322.55M","3.67%"
"02/25/2025","126.63","129.98","130.20","124.44","271.43M","-2.80%"
"02/24/2025","130.28","136.56","138.59","130.08","251.38M","-3.09%"
"02/21/2025","134.43","140.04","141.46","134.03","228.22M","-4.05%"
"02/20/2025","140.11","140.03","140.66","136.79","143.90M","0.63%"
"02/19/2025","139.23","139.51","141.36","137.22","167.54M","-0.12%"
"02/18/2025","139.40","141.27","143.44","137.93","219.18M","0.40%"
