"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/2025","116.39","117.95","118.97","114.57","203.84M","-2.63%"
"03/17/2025","119.53","122.74","122.89","118.03","255.50M","-1.76%"
"03/14/2025","121.67","118.61","121.88","118.15","277.59M","5.27%"
"03/13/2025","115.58","117.03","117.76","113.79","299.03M","-0.14%"
"03/12/2025","115.74","114.12","116.76","112.88","323.86M","6.42%"
"03/18/2025","116.39","117.95","118.97","114.57","203.84M","-2.63%"
"03/17/2025","119.53","122.74","122.89","118.03","255.50M","-1.76%"
"03/14/2025","121.67","118.61","121.88","118.15","277.59M","5.27%"
"03/13/2025","115.58","117.03","117.76","113.79","299.03M","-0.14%"
"03/12/2025","115.74","114.12","116.76","112.88","323.86M","6.42%"
"03/18/2025","116.39","117.95","118.97","114.57","203.84M","-2.63%"
"03/17/2025","119.53","122.74","122.89","118.03","255.50M","-1.76%"
"03/14/2025","121.67","118.61","121.88","118.15","277.59M","5.27%"
"03/13/2025","115.58","117.03","117.76","113.79","299.03M","-0.14%"
"03/12/2025","115.74","114.12","116.76","112.88","323.86M","6.42%"
"03/18/2025","116.39","117.95","118.97","114.57","203.84M","-2.63%"
"03/17/2025","119.53","122.74","122.89","118.03","255.50M","-1.76%"
"03/14/2025","121.67","118.61","121.88","118.15","277.59M","5.27%"
"03/13/2025","115.58","117.03","117.76","113.79","299.03M","-0.14%"
"03/12/2025","115.74","114.12","116.76","112.88","323.86M","6.42%"
"03/18/2025","116.39","117.95","118.97","114.57","203.84M","-2.63%"
"03/17/2025","119.53","122.74","122.89","118.03","255.50M","-1.76%"
"03/14/2025","121.67","118.61","121.88","118.15","277.59M","5.27%"
"03/13/2025","115.58","117.03","117.76","113.79","299.03M","-0.14%"
"03/12/2025","115.74","114.12","116.76","112.88","323.86M","6.42%"
"03/18/2024","116.39","117.95","118.97","114.57","203.84M","-2.63%"
"03/17/2025","119.53","122.74","122.89","118.03","255.50M","-1.76%"
"03/14/2025","121.67","118.61","121.88","118.15","277.59M","5.27%"
"03/13/2025","115.58","117.03","117.76","113.79","299.03M","-0.14%"
