"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2025","255.54","250.38","258.10","249.29","66.29M","1.92%"
"04/23/2025","250.74","254.86","259.45","244.43","150.38M","5.37%"
"04/22/2025","237.97","230.96","242.79","229.85","120.86M","4.60%"
"04/21/2025","227.50","230.26","232.21","222.79","97.77M","-5.75%"
"04/17/2025","241.37","243.47","244.34","237.68","83.40M","-0.07%"
"04/16/2025","241.55","247.61","251.97","233.89","112.38M","-4.94%"
"04/15/2025","254.11","249.91","258.75","247.54","79.59M","0.70%"
"04/14/2025","252.35","258.36","261.80","245.93","100.14M","0.02%"
"04/11/2025","252.31","251.84","257.74","241.36","128.95M","-0.04%"
"04/10/2025","252.40","260.00","262.49","239.33","181.72M","-7.27%"
"04/09/2025","272.20","224.69","274.69","223.88","219.43M","22.69%"
"04/08/2025","221.86","245.00","250.44","217.80","171.60M","-4.90%"
"04/07/2025","233.29","223.78","252.00","214.25","183.45M","-2.56%"
"04/04/2025","239.43","255.38","261.00","236.00","181.23M","-10.42%"
"04/03/2025","267.28","265.29","276.30","261.51","136.17M","-5.47%"
"04/02/2025","282.76","254.60","284.99","251.27","212.79M","5.33%"
"04/01/2025","268.46","263.80","277.45","259.25","146.49M","3.59%"
"03/31/2025","259.16","249.31","260.56","243.36","134.01M","-1.67%"
"03/28/2025","263.55","275.58","276.10","260.57","123.81M","-3.51%"
"03/27/2025","273.13","272.48","291.85","271.82","162.57M","0.39%"
"03/26/2025","272.06","282.66","284.90","266.51","156.25M","-5.58%"
"03/25/2025","288.14","283.60","288.20","271.28","150.36M","3.50%"
"03/24/2025","278.39","258.08","278.64","256.33","169.08M","11.93%"
"03/21/2025","248.71","234.99","249.52","234.55","132.73M","5.27%"
"03/20/2025","236.26","233.35","238.00","230.05","99.03M","0.17%"
"03/19/2025","235.86","231.61","241.41","229.20","111.99M","4.68%"
"03/18/2025","225.31","228.15","230.10","222.28","111.48M","-5.34%"
"03/17/2025","238.01","245.05","245.40","232.80","111.90M","-4.79%"
"03/14/2025","249.98","247.31","251.58","240.73","100.24M","3.86%"
"03/13/2025","240.68","248.13","248.29","232.60","114.81M","-2.99%"
"03/12/2025","248.09","247.22","251.84","241.10","142.22M","7.59%"
"03/11/2025","230.58","225.30","237.06","217.02","174.90M","3.79%"
"03/10/2025","222.15","252.54","253.37","220.00","189.08M","-15.43%"
"03/07/2025","262.67","259.32","266.25","250.73","102.37M","-0.30%"
"03/06/2025","263.45","272.06","272.65","260.02","98.45M","-5.61%"
"03/05/2025","279.10","272.92","279.55","267.71","94.04M","2.60%"
"03/04/2025","272.04","270.93","284.35","261.84","126.71M","-4.43%"
"03/03/2025","284.65","300.34","303.94","277.30","115.55M","-2.84%"
"02/28/2025","292.98","279.50","293.88","273.60","115.70M","3.91%"
"02/27/2025","281.95","291.16","297.23","280.88","101.75M","-3.04%"
"02/26/2025","290.80","303.71","309.00","288.04","100.12M","-3.96%"
"02/25/2025","302.80","327.02","328.89","297.25","134.23M","-8.39%"
"02/24/2025","330.53","338.14","342.40","324.70","76.05M","-2.15%"
"02/21/2025","337.80","353.44","354.98","334.42","74.06M","-4.68%"
"02/20/2025","354.40","361.51","362.30","348.00","45.97M","-1.71%"
"02/19/2025","360.56","354.00","367.34","353.67","67.09M","1.82%"
"02/18/2025","354.11","355.01","359.10","350.02","51.63M","-0.49%"
"02/14/2025","355.84","360.62","362.00","347.50","68.28M","-0.03%"
"02/13/2025","355.94","345.00","358.69","342.85","89.44M","5.77%"
"02/12/2025","336.51","329.94","346.40","329.12","105.38M","2.44%"
"02/11/2025","328.50","345.80","349.37","325.10","118.54M","-6.34%"
"02/10/2025","350.73","356.21","362.70","350.51","77.51M","-3.01%"
"02/07/2025","361.62","370.19","380.55","360.34","70.30M","-3.39%"
"02/06/2025","374.32","373.03","375.40","363.18","77.92M","-1.02%"
